"","feature.pa.pos","feature.pa.neg","contaminant"
"00654729ef563064a5e0eaf14ee06b27",254,13,TRUE
"82edf901a39aafd965094045a975c8e0",29,4,TRUE
"aef3e7274898698d2646bf64764882a2",50,3,TRUE
"a70ebe6a624d755a01c0bb838afd699b",114,6,TRUE
"bf1e761ed9fa7f9fa7c9c12c045317d6",42,3,TRUE
"0edec3df4b2d81217ba5611caeb3d8ea",36,2,TRUE
"394fe402f04c30dd5bb2651e65538a3e",29,2,TRUE
"155f8eb0d552361fe7514b4e6c60e482",40,2,TRUE
"ba4104e08d2c6813362d342285e68b11",39,2,TRUE
"a99fe1918864cbe157088b1713574770",15,1,TRUE
"25a25b14ca97997c46f268e0271458c2",20,1,TRUE
"b1ed1fa1a05b13544ca1fe32a1234fa1",14,2,TRUE
"fe17fc28d4c67a2ae27f2dee2c65b733",6,1,TRUE
"d78cb961eae171afa15b2f23dad5b743",48,3,TRUE
"785a2e5831a8843a61a3259c7d24757f",19,1,TRUE
"273ef895191c58ff759fc8de25662c3e",10,1,TRUE
"ec31cd01b641add3b0d74fd16cfba96d",21,1,TRUE
"c3982ed2ad4c75f2de6f3966313a22ab",14,1,TRUE
"655708bb2d7ab710eb893937ca4afe30",15,2,TRUE
"17b498695d96d5d63f46920eac9d5be4",265,13,TRUE
"2f32d23ceae43ec396bf392cfb2a4ee4",6,2,TRUE
"003ef91a14b84542d956009f2e38d7fb",9,1,TRUE
"d0d92a3f4f22e81ede2b7c2f660ff319",6,2,TRUE
"b6a1cfa6e39afe4b381b43fdfb151803",211,12,TRUE
"6cdfff3710e6f900484960e2819ab907",15,1,TRUE
"0b357fdb0d34d6c8110e434c1b0b8a7b",14,1,TRUE
"4e55d562408eca523f914478353dcfe5",225,12,TRUE
"157a1e616b68d5481b58d2145844de43",17,1,TRUE
"0d0d2b8333867342e81615cf86a44ba3",4,1,TRUE
"e2dc4de9b7327602081a5560b9365112",7,1,TRUE
"c0864745aff9395a13552c2e1511af6f",7,2,TRUE
"14276dbfcc46f57088319bf6cfa587c0",12,1,TRUE
"70ede889637f060c8daf8d478e636115",5,2,TRUE
"85bae603170194e6e758623b39b12b00",13,1,TRUE
"49bd9ffc914102c95c3f7d324e7752f9",7,1,TRUE
"15b803186620d84c044f03c861329f36",3,1,TRUE
"ad2bdfa45bb52d15d9e6950a9e5ad9ff",4,1,TRUE
"2dfddfd47e2383193c7ff407ed9e1469",8,2,TRUE
"84c585af22a942ff4f0b51cf90b01524",5,1,TRUE
"b10221eba0f5d7b4b3c0ee78484ffddd",6,1,TRUE
"e7feecd4eda7905a242dc9ae8d2bbc0f",6,1,TRUE
"f1e834ea7c9d0d288e5069fd7b2cc9c6",7,1,TRUE
"038bd397594304edce5a76569e046245",7,1,TRUE
"0b3f7037fd87fc6885b5f1a156150ff0",5,1,TRUE
"5f1f3bbefa01fffadbc6e075e85bb56f",4,1,TRUE
"03adfcbb0dd9aec758f0a343eb9b7817",12,1,TRUE
"07f61c936b2ffc33391103dc3ca3ccbd",5,1,TRUE
"bbfafe05163a28c7a572b9a3d3706da5",7,1,TRUE
"69827545d061b3c11a085bc0c1ac4cb3",2,1,TRUE
"9f64326a0f3305e5bd4cc7a417efe25d",2,1,TRUE
"5c95140ed01ec60858466dae453cd8d9",2,1,TRUE
"766346a70e16f727c1c0bda74633bb5e",14,1,TRUE
"68cb914a5db159007d45110ced474a25",13,1,TRUE
"9a113a8ac105e8708be1db5d82bb4cd3",2,1,TRUE
"990b6dee6494e883a8e42196d8bfda58",2,1,TRUE
"574fb4ab1740b509959a8714693c79b8",3,1,TRUE
"e94468956fb706066a37bd3f87585466",6,1,TRUE
"22907e97364faa78fba4b319f08f4825",2,1,TRUE
"f0b36e9efdabe6017ecd023fc896f176",8,2,TRUE
"90bcf302a7d73e7125098d3650fad05f",69,5,TRUE
"90785ffb928a297ece160e518526060c",3,1,TRUE
"eed2a3d327f5cfaa6470032b74b25179",10,1,TRUE
"85962ece22b23c03706c8bf09a817898",7,2,TRUE
"be23f336b189892e259f314276a12fb7",3,1,TRUE
"e47d49085224d9df5d7d3ef57e03bbf3",2,1,TRUE
"352b75d78f8a58b9fe8b1f0e75d986f6",5,1,TRUE
"ae2179f5a3f813ecc8dec7a9dbe54448",7,1,TRUE
"22ee98c6eee418787deb524c60f3e017",2,1,TRUE
"7cec24260009c031db47ab873bb54b63",2,1,TRUE
"171661b16cb48aae102a581842ea614f",1,1,TRUE
"7bb14a2d5e68b548c50954085a9f08fb",2,1,TRUE
"ee2986c1bc56c89e12cbf63a6e15cccb",5,1,TRUE
"433910c7129602790aed3175a1ef1797",211,11,TRUE
"c8603fc1e65fb012395e4b5a27474fd6",3,1,TRUE
"3a2d811df367e258f1b7ba261609a417",3,1,TRUE
"1801ce4288b8f80f7d161319edbb908c",1,1,TRUE
"4e779df7307b88b4050162ea2ef79729",1,1,TRUE
"8662fd0ccd8a645dbe69e56f99fb3b71",1,1,TRUE
"afff40dc2c6a6c2e86f2d491a252fafd",1,1,TRUE
"dccb00edbfbe5b758a09f7f9e1ef57a5",246,12,TRUE
"a2575fa303441c43960b876edfd7c36b",1,1,TRUE
"db73e51052d0928cc24a6ee25bfa9328",236,12,TRUE
"e9ee754b697b418593b3588da8a4dade",180,11,TRUE
"09c85c71f333e38183afa8e756786969",159,10,TRUE
"4a1a0420f173e1a5a967f66dc0abe7db",1,1,TRUE
"86328bf4ea255086d6261826673d2ef2",46,5,TRUE
"46ce06c00a76dff458cc24dd17e3b120",13,1,TRUE
"122bfb1aab743c4265defff8720c2255",5,1,TRUE
"e3945e870a4f02abf09e2d7af478c3c4",70,5,TRUE
"909f3fad8dcc2555c6c0c328b93fedcd",61,7,TRUE
"05b956f6c663a30f206425ce64e5d6ff",44,2,TRUE
"5f589556bfe0a435aa8bc488a57a8ad0",56,6,TRUE
"8afd2049ad6b917d8d3e4c0d6b8b33a4",52,4,TRUE
"fcfdc2f0f8347dccc1acacb1c8f017f7",1,1,TRUE
"c81c354bd89fe7a102787c138821402a",56,3,TRUE
"88c20b835e4aabca6590f817ca4b24a0",33,2,TRUE
"6281b8cff6abef7c81eff749c1d0728d",40,4,TRUE
"212d1e4b6cc3a4da9486eb3cb471eb86",1,1,TRUE
"694e110675106b5adeaff62594da9113",20,1,TRUE
"5a1871d9e4d7496ed36d030f85d10bb3",58,4,TRUE
"9681096aaafd286b6f5517c6a222c2c4",15,3,TRUE
"b9288696740cc9df2f00dbb4ab5c7fb9",17,2,TRUE
"b6e78d861d5500f18e018868f2ca4baf",3,1,TRUE
"688cc8b3f8ede6aa4937038c2ac6627f",17,1,TRUE
"77792b6353e51e84ce0ed95c4c418426",8,2,TRUE
"9d8e0aaa625045a691f4103b9259fa67",2,1,TRUE
"33704eabf403879865f64ed7c9b87432",4,1,TRUE
"fc3c462bdf35550c77518dba5b29ee86",8,1,TRUE
"1c78c3dd01f4a968b73c913373a83dd6",27,2,TRUE
"d3b08240f40cc3ca5d245913e863ad91",13,1,TRUE
"3d7b76ed3ec6d0eaa666d8d4124cb11b",4,1,TRUE
"b181b7230985ef4a91f6d45d8cbd7c1b",25,3,TRUE
"43b7dd8d52211bc033e1965b3fce05e3",22,3,TRUE
"e0c0bfa0523d9dfa49868d4b230f67bc",12,2,TRUE
"8e58b372fac0c28c13af10e05110d55c",18,2,TRUE
"164ea8e2e13d1601158b460ede94f601",7,1,TRUE
"2aec2e43751aa07fe7d252e5f622d3f5",16,1,TRUE
"8fd7bd79d90d2d9358ee8c425df75977",1,1,TRUE
"3db57ded32395b7f0100369f5c348371",2,1,TRUE
"5cf866852c24f86fbc416b5318902718",1,1,TRUE
"362ee71aaefa73fcfaf8548daddb40e3",1,1,TRUE
"d92ffe906b52995b046fb2b1399ff02d",1,1,TRUE
"70783c900a84ed59345e7f1a449aeba4",1,1,TRUE
"d3040369e993c02d5a1919e35736456a",17,3,TRUE
"e4c25deb773231085c105c5283b7074a",1,1,TRUE
"5e1cea9f5b3b6852bbb6ced7c07eacf3",26,2,TRUE
"7b3aab06fdeda48eed7eddca2189e1ea",1,1,TRUE
"f4f014b1a88ee11ebb684f7b9e744e29",21,2,TRUE
"4603adcb40a88980e256c3880aa9f9e0",5,1,TRUE
"5b4d25cb4a7a5d43393b3d7a95b1bc11",23,2,TRUE
"c2e3f403584df37dc16966bc42687364",3,1,TRUE
"f5d53dc1f001ff7a8d57309ecf872b82",5,1,TRUE
"3b1d5e77a903a4cc7b7baae78f09b01b",21,4,TRUE
"2a40b4017eb19d59127eca235fae24ff",1,1,TRUE
"e8b2074313b9dbc538855f7a2306e02c",1,1,TRUE
"5407ce5e1359ad66436bb618451c5258",18,2,TRUE
"a304e3b1e91177d366e9f2e96823539b",6,2,TRUE
"854bad3337d84db2ac7715539097c614",1,1,TRUE
"70caf67704f3cae9d669e5e88f17e247",1,1,TRUE
"007933eeb31b6dad110d6590b3e1a8a8",13,1,TRUE
"aeb1376751b3571c762d3d351ad25dfc",2,1,TRUE
"cbaa5168bbdb3ebf4153034e49460e2f",1,1,TRUE
"e7f35a2c270023c1149a4b3deb6e79b5",7,1,TRUE
"fa2923395fa23caeb0aff2e7acd34783",10,1,TRUE
"46d006c894627b650ad5ad6fece1646f",12,2,TRUE
"b75899413c1dad05c0da9a47f6c8b8e6",9,1,TRUE
"2b700f973d433190278253878e699ea9",7,2,TRUE
"73db3ad7c7592671523bbefa565027a0",2,1,TRUE
"efed138884a771c195e187e802ac7018",11,1,TRUE
"fdff3e84a13718f6e26ef5f21431085a",1,1,TRUE
"a323328ca06257f7c0a33c4567d45043",2,1,TRUE
"edc1d3ac9ae53e4baea35007bb5f0dd9",4,2,TRUE
"ad6b7054808e08c8b119e8d9c4ced89e",2,1,TRUE
"1a1252ea46c2fcf1560675f596e8447d",3,1,TRUE
"aba535666b1c0243fe4bf8acfe808a37",8,1,TRUE
"fd42b30d9969f44bc16844ea06cbb212",1,1,TRUE
"75db2d84b226090072c246182dfbf189",3,1,TRUE
"66625ed17922d2945f05cde74213f11b",6,1,TRUE
"5bd16a5d178090135028f9c53eb6ed0b",3,1,TRUE
"adadff6fc05a87d86e78918e24a564cf",5,1,TRUE
"035ff1ffc98cd27ec6abbf49e8746063",5,1,TRUE
"63e0249b7e2cf994efbbe695ea87eaee",3,1,TRUE
"3ba2cd386e63eac51434d90382f32ae8",2,1,TRUE
"cf79741c75984589803e8c024449171a",2,2,TRUE
"d06d304ebebe2da186e3dff45ff841d8",2,1,TRUE
"8f8dc495c5f694c32b6b02bbaab1eb0f",1,1,TRUE
"a63b106fe07be33a126be68e3dc25a8a",1,1,TRUE
"48bfee63ac6423f9f563b4e9921ea107",4,1,TRUE
"a2725a35e190896b39f8ae2b4133529f",1,1,TRUE
"9e4ad06893f7df3126c6bbbb2d1866c2",1,1,TRUE
"1f08f7e8e30b9d9f4d33f63281b57f12",4,1,TRUE
"28d1138062444c8e387c1747af3bbe3b",1,1,TRUE
"1435e996a0e895ed25b80b8b16035892",1,1,TRUE
