"","cnth","unobh","cntd","unobd","fisher_p_both","padj"
"08d77d3861ee0c24205b9a999144495f",2,24,1,23,1,1
"0c0cca5bec99fb78e2bb61c3935b025d",0,26,1,23,0;48,1
"0fa5da88bc26c3d497597b2ecbf33634",1,25,1,23,1,1
"116156fee4dfb6a544121c9b98a23c74",14,12,18,6,0;148530550698036,1
"135cd9f50ac1631b9e504edeb830d683",4,22,3,21,1,1
"17211eba768f47a1041935f3ee102e20",14,12,12,12,1,1
"175a157b503cdbac0149f491726d55a0",1,25,0,24,1,1
"1760e66b93ff7aa728b6898fa572bc2d",1,25,1,23,1,1
"187ab8462b8b440e1def5212412d9e06",1,25,0,24,1,1
"18922236506583e7320e776be6c2463a",2,24,0,24,0;490612244897959,1
"18ff3ee57c402652b7156ed14071d0ab",0,26,1,23,0;48,1
"1a3bb25b7d08acf0c021cca6623e477e",0,26,1,23,0;48,1
"1b0539acdc7399feee3aaebdd5e61067",0,26,2,22,0;22530612244898,1
"2130ca17584e2024351e25847b07de48",0,26,1,23,0;48,1
"21902ca1010f0f956e2e1b1e786ea973",4,22,0,24,0;11105514546244,1
"22358af799b12718b2413db582b1a6af",3,23,4,20,0;697061803444782,1
"223bd77c5c34f4e9e40c3dfd53dffafc",1,25,0,24,1,1
"22aea799615e8e1467f7b56605053545",2,24,2,22,1,1
"22c4ee4deafd2a50e123031f9e973ddd",3,23,0,24,0;235918367346939,1
"273881ea7601aa7c034c59b7f40b5736",4,22,0,24,0;11105514546244,1
"299a98fef4b37a7f125b41049760c6d7",1,25,0,24,1,1
"2b59d468bbdb1f86c22fcebd61f5d5cb",1,25,1,23,1,1
"2bf8231073721bfc54aa8ebeb6912a20",0,26,1,23,0;48,1
"2e3c54c72de596f4c4009971b90895d7",0,26,1,23,0;48,1
"2ea15125b3c28f70f4e9b2011fb1b32e",11,15,4,20,0;0666274979401783,1
"2ffde79d725e60b058bde836132af683",2,24,3,21,0;661311333043856,1
"30526a7a4d826edd9b043b56bd8e847a",2,24,1,23,1,1
"3123b5aa3c0f158260f64b2832af8167",1,25,1,23,1,1
"31415f8d3595a43846a89317548511ce",1,25,1,23,1,1
"319412737efae4ec36f93f4db011de0e",2,24,3,21,0;661311333043856,1
"325f464ad49685c1e5420d17aa147d15",0,26,1,23,0;48,1
"33be679a5c7b7bff076243989c33712f",2,24,1,23,1,1
"344a99c4890ae9d218c68b7173d0389c",0,26,1,23,0;48,1
"369977194325fa77afd733d37c92c63d",5,21,0,24,0;0511072514112028,1
"3a12705bdb700b87026ea27254e8fa89",3,23,4,20,0;697061803444782,1
"3d0a205de99f5295bc4b374649c57575",3,23,0,24,0;235918367346939,1
"409649957a882957ee87339338a7c07f",2,24,1,23,1,1
"41155fc81ea0571a02817ce0e39861e2",0,26,1,23,0;48,1
"450fb80a8aa341cdf33eee2dac5fe23b",1,25,0,24,1,1
"45c35d69f417bd7d4cbe61dd5a0f083e",1,25,0,24,1,1
"461c2b20bd5c233dcac34fc89ce1a66f",0,26,1,23,0;48,1
"4673065a2d04c05374a89d2cfdcf68c2",23,3,21,3,1,1
"481b5086d4014f57b2ff1517825ee7d1",2,24,2,22,1,1
"4a1a4c83702a6c44562e2daa13bf3514",2,24,0,24,0;490612244897959,1
"4a8dbbec00787fa2cc2ee08274f8ce4c",0,26,1,23,0;48,1
"4bdc300e2a73d2456d8f5f301cd79b24",3,23,0,24,0;235918367346939,1
"4be810915c915c3f6f34bb4fedab9ad0",17,9,12,12,0;390451934723317,1
"4f39ef900d88365c3eac06f13c776b8f",2,24,1,23,1,1
"511bd796069111a3a3e99c2d13907211",4,22,1,23,0;350846721667391,1
"526fa77d5328b0a41df33317dfe135e2",0,26,1,23,0;48,1
"539265e101086f2e7d8aa51c05152c1b",0,26,1,23,0;48,1
"53c621cb35a1c35186d82a7c60de1bf0",1,25,0,24,1,1
"542b8274cc0abe38ef023b02b57dbf9b",1,25,0,24,1,1
"543d211dd0ff4f6d0066ec3850ed5082",2,24,0,24,0;490612244897959,1
"54936af7fc659bb8a76615f1ae6f6993",1,25,0,24,1,1
"596153e78a4c251da43033285b61a7b3",1,25,0,24,1,1
"59788ef0375e4756a83b5a60f29a3303",2,24,0,24,0;490612244897959,1
"5ae1f1acc18efc7823c3415d779b0385",0,26,1,23,0;48,1
"5ae8bbf464d292ab3b75086ef4ff2fb1",1,25,0,24,1,1
"5bf5a35fbf5c2c129b31a4aaa02679bd",2,24,2,22,1,1
"5cce1abb68c73f8fd159aaf92e2afde9",2,24,1,23,1,1
"5d5ed43144a7e9922f567567cca6edb7",1,25,0,24,1,1
"5e317160f53054af730b0a3123e7e9b6",0,26,2,22,0;22530612244898,1
"5efce6b21a9c05541f7e777341156e96",1,25,1,23,1,1
"5f3b8380fd0ae0e537a43b002c4e7a67",0,26,3,21,0;103265306122449,1
"60ae902a3e046edce4cc5f9cc1ac73ea",2,24,2,22,1,1
"633743f58b6a9fabc8612a844746d9aa",0,26,1,23,0;48,1
"643e1fe5e4374e56b15854c0ab8bd517",16,10,17,7,0;559202854664962,1
"66784a97073d9affb5b9dd057c7d5195",0,26,1,23,0;48,1
"6915ce702b5bac12f5018e69a2bca72e",3,23,2,22,1,1
"6b6c4cf41b7f49acaa5081bc5f234029",1,25,1,23,1,1
"75e58ea69a10ad870d4811cf0d4fdb61",1,25,1,23,1,1
"760b5cda1cd383fa43af2dd6f6b06672",4,22,4,20,1,1
"76dc3809d214159c017b2f987364f7e0",4,22,5,19,0;72101505619566,1
"77d225e6605a71a9a33a9aeb33bdb890",4,22,6,18,0;489661688162792,1
"78e3be9fa222d3a314799a1a883f6b66",6,20,5,19,1,1
"79211df1215da97e2f8277d6b2222fe2",1,25,2,22,0;602040816326531,1
"79a7291065adc3f595551e420369acde",1,25,1,23,1,1
"7be672ff862684f33384d4e038bb89c0",1,25,0,24,1,1
"7c4c61a0c83567367786e514df40a21b",1,25,1,23,1,1
"7d2ea1f51c60d58d0660446d4774a59a",1,25,1,23,1,1
"7e3a3bdd9958e1b458ec4e0db97683ea",1,25,0,24,1,1
"7f088cac1fcdba8c0195c47096264049",0,26,2,22,0;22530612244898,1
"7ff01134216b54c40a3d44f59c565338",1,25,1,23,1,1
"8512a0ed11476e591ffa9a713b8d9df3",2,24,1,23,1,1
"872b2757f7ef15b1ef26b3f9936bcf31",24,2,20,4,0;40917643653206,1
"8886b2b13e2ddffa6f24c3ba02bde095",4,22,5,19,0;72101505619566,1
"8888c9b2d3933081f63651b9bfdbe480",8,18,9,15,0;766636805410862,1
"8c6d27c2bc40b12979bd9d5544237b81",1,25,0,24,1,1
"8cb3b318760da2e5f9815653cbc4bf83",2,24,4,20,0;40917643653206,1
"8d3e983e728259a88863f948e5dbe94b",15,11,14,10,1,1
"8dcb1c66dadcbfce80141ab20ccf1ea1",2,24,2,22,1,1
"8e2824f6a1b188b220b9361c612674b6",0,26,1,23,0;48,1
"8e6ecb2cb834391984e82c3a076e43c2",2,24,0,24,0;490612244897959,1
"92e7c471bf50233a39a459ff5b204b3e",2,24,0,24,0;490612244897959,1
"939f95ffa67d45b18f810411c9e35571",0,26,1,23,0;48,1
"93dc6bb121df4cf4164c024ac00012b4",1,25,1,23,1,1
"96e8d503a1148ba899683ec5ab9b05d9",4,22,3,21,1,1
"97e3be015d0ad3c9c56ccbd57f9c0feb",3,23,2,22,1,1
"983cf9a4e7016105283f24743d919f25",0,26,1,23,0;48,1
"99bf847cdf4b42889ec796b79dff8c25",1,25,0,24,1,1
"99d56121b201885e2327e1aaefee27e0",9,17,3,21,0;0995862507878328,1
"9b05f9d3b68356c051503c00d6b3d333",0,26,1,23,0;48,1
"9bfd7d6705ff77f170d74bd7d21e15c7",8,18,3,21,0;175358092936068,1
"9d066026ffeef60c8c0e44158075b186",2,24,3,21,0;661311333043856,1
"9e58e4736ae679b38ae8de9b3fc3d7ee",2,24,3,21,0;661311333043856,1
"9e6878f45a5eb2ea642bc92e840afdf7",1,25,0,24,1,1
"a135d244d0364d5d06535e56882a84a5",2,24,2,22,1,1
"a158cb84cd379842d99cf6726247efcd",5,21,1,23,0;191851208568534,1
"a418705a2b62c68553ceec65922142a4",3,23,4,20,0;697061803444782,1
"a4977746f215ec32e61883e81da46126",1,25,1,23,1,1
"a4bbfb428c8d35739d668a60656037fc",3,23,1,23,0;610508033000434,1
"a4e3412f19bae543184b7ee353711e30",3,23,0,24,0;235918367346939,1
"a692aae1c416358d582103d64b3774f2",1,25,1,23,1,1
"a767696bf9e2e1a5f9e63fd6d39e88f3",2,24,0,24,0;490612244897959,1
"a7f842cf2e6b177dd52becebda1de83a",4,22,1,23,0;350846721667391,1
"abb48f98cc76cbfd884b85cb99cf2af1",7,19,5,19,0;744743606763133,1
"adba26ac34bc5a82de3fd3fb5efbd33e",1,25,0,24,1,1
"b2b2ae51b868a14c0e2efb9693ed8f75",1,25,1,23,1,1
"b47360a961b32fd49a797faf00c4d3de",0,26,2,22,0;22530612244898,1
"b4b232f214f775bcc3308653d7741f1a",0,26,1,23,0;48,1
"b53ede99325c8616840fa8e938464d7e",8,18,10,14,0;557317091476363,1
"b5f3ca43eee20152738a029642f31149",3,23,3,21,1,1
"b663b0cd551ba980221251a789b6e206",3,23,10,14,0;0235526966848095,1
"b6d488bfbf30ff5ee3e75bbefccb6032",1,25,1,23,1,1
"b77627ad049c7569beb5e5bb351b9a50",3,23,1,23,0;610508033000434,1
"b7b6c3fd8f90372ec9ab4e7bd7df8507",0,26,1,23,0;48,1
"bb33b229f3d1ca9a24f2615fab635d38",7,19,0,24,0;0100506585612969,1
"bd26e97e57ceb47cf6ab7d5b5e947f62",0,26,1,23,0;48,1
"bdf8ede33b2c7001840621a6f72229dd",11,15,9,15,0;778955097207357,1
"c0c4bc43d1ba371268726299b45b754a",1,25,1,23,1,1
"c10027370c67bc9ee9b945c53d20ab5c",4,22,3,21,1,1
"c1c7dac2c6665e89f90cda95c53e086e",1,25,0,24,1,1
"c1f96ac17ac6c32cbf88341fce4c8d9d",0,26,1,23,0;48,1
"c2cf452e2e4b142723e0654f167ee870",1,25,0,24,1,1
"c50d9f53af04313b5497bb9c55275c7c",2,24,1,23,1,1
"c8d5fdc244ae17e9558f5025b812d6eb",1,25,2,22,0;602040816326531,1
"ca8c1cc094272e70ff21f563a2af81c3",7,19,5,19,0;744743606763133,1
"cca78c21045111a15b3ccadddf52b971",3,23,1,23,0;610508033000434,1
"ccba5d69de041201ee8e163c1c4b23bb",1,25,0,24,1,1
"cf16828665dee40dfa4b6bade4cf21ef",0,26,1,23,0;48,1
"d3ab276830b02edd6977f850f0ef8caa",1,25,1,23,1,1
"d40cb52e5d7086fee99ae0907fd334f9",16,10,12,12,0;569274258382736,1
"d61038bd0af574cc1fb1f9ecef204bbf",1,25,1,23,1,1
"d6992915e0c28999e8d466f1592d8b7a",0,26,2,22,0;22530612244898,1
"d75885b537a312c667e41d5afe3bee27",0,26,1,23,0;48,1
"d8fc54bcadbf7fcc5cd3d7c2bf678f8f",1,25,0,24,1,1
"d9b3a569d44a34c6a764a5a298219d08",0,26,1,23,0;48,1
"da513503b2ff56009fc8a578c819ebcb",0,26,1,23,0;48,1
"db927f3e3abb74321d0262b8624b01c7",0,26,1,23,0;48,1
"de3ca8116321fa3b3ecaa5fc40c08cc5",0,26,1,23,0;48,1
"de7864dafea9b68a565a62c31bc8339e",3,23,1,23,0;610508033000434,1
"dfaaa901a526111d492d3d2f61435275",3,23,0,24,0;235918367346939,1
"e0db0916d5f4bc79913c096d6f7f23e0",2,24,1,23,1,1
"e36a239a30b387e78c09e274444e016c",1,25,0,24,1,1
"e3eb7f52eef0ad7aec4db88af12eb3cd",4,22,4,20,1,1
"e5750ae962ff61732a057356b169fd21",1,25,0,24,1,1
"e71fb4db708f786a39f0bf2bd9b6e50b",1,25,1,23,1,1
"e74ee435c566d594cc9526383adf5792",7,19,4,20,0;501002539536953,1
"e87dc9cc994d0c5c48a42ee91aae6eae",3,23,1,23,0;610508033000434,1
"ea4f3d7471d698fb962e28a5f213caf2",1,25,0,24,1,1
"ee0d28cca895e4a213be07178c2fefba",0,26,1,23,0;48,1
"ee121b5310faf3d1c9e119e3ac6048ba",0,26,1,23,0;48,1
"efef4e897400bf9054e9c2a7eda09a78",2,24,0,24,0;490612244897959,1
"f159675a1296aa9d383e4ab3f9407619",1,25,1,23,1,1
"f342e124ffe9a9d3e0e492ff00ed674e",1,25,1,23,1,1
"f5a2b8967fd8d135803af8c0601cd4e0",0,26,1,23,0;48,1
"f5dfda847d1a6546186467acbca7459a",0,26,1,23,0;48,1
"f7b11f46a4c69e77e82476e16e9df760",7,19,4,20,0;501002539536953,1
"f8549988d995f078ce28eccc60deff7b",1,25,1,23,1,1
"f9fd90420aaf24633adee0901df06f08",2,24,1,23,1,1
"fb4b6d91dda35da5c766e6747c71efdb",1,25,0,24,1,1
"fd6ff46f1b85f9ed17f80fe98868119c",0,26,1,23,0;48,1
"fd7880a6988b84aaaf0c433708c2efa6",0,26,1,23,0;48,1
"fe1557e7eea603d3e9a1356de4c894f1",1,25,2,22,0;602040816326531,1
