"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"4bdc300e2a73d2456d8f5f301cd79b24",1;64590098674356,-7;657943281463,0;261933992709077,2;04518838282217,0;0408362893616545,0;0996405460424369
"5d5ed43144a7e9922f567567cca6edb7",3;14850805771741,0;660640258195638,0;340208814005966,1;93599391374685,0;052868446392775,0;110904862922677
"a418705a2b62c68553ceec65922142a4",2;33650387027351,-0;289574058369098,0;326904331298465,-0;884454839070592,0;376450730929018,0;468642746666736
"9880373d82d00984bcfd9dddced13e34",1;1708600239099,3;81235161762636,0;250322877050269,-0;0148033474009473,0;988189069034944,NA
"135cd9f50ac1631b9e504edeb830d683",1;67277277151728,-0;185395760354572,0;315503403539197,-0;586807274595857,0;557333150553967,0;666614160466509
"0c0cca5bec99fb78e2bb61c3935b025d",1;14273523031743,-3;3895507940316,0;257535118280681,0;126800617608629,0;899098206903661,NA
"77d225e6605a71a9a33a9aeb33bdb890",76;1736869004412,0;355449622398709,0;337800248887206,1;5180767848479,0;128995042795696,0;212667502987498
"de7864dafea9b68a565a62c31bc8339e",1;36418786942365,-0;284931698248945,0;321090176979471,-0;884076014662625,0;376655179972372,NA
"2b59d468bbdb1f86c22fcebd61f5d5cb",1;33656960577883,-0;249360668958998,0;321192761341024,-0;773990573387682,0;438936365804003,NA
"2ea15125b3c28f70f4e9b2011fb1b32e",2;80855550237182,2;17478261428614,0;321266403216738,-0;140900166288591,0;887948810779073,0;918048770466499
"a692aae1c416358d582103d64b3774f2",2;71383963454755,0;596715530745592,0;324280867357449,3;36549377376551,0;000764067915759532,0;00388401190511096
"2bc5d4320e54797a39359dc0676cf450",1;22562058384558,8;05614964998285,0;225303487099252,0;281421908465481,0;778386816322233,NA
"33be679a5c7b7bff076243989c33712f",1;1708600239099,6;53860900752055,0;230316149214517,-0;0148033474009473,0;988189069034944,NA
"cf16828665dee40dfa4b6bade4cf21ef",1;39054859551709,0;340286458483967,0;31845965197369,1;06576912313997,0;286528021917593,NA
"da513503b2ff56009fc8a578c819ebcb",1;92676529314531,-0;348457207663591,0;326497470386804,-1;06435368751251,0;287168505434732,0;389272862922637
"ea16290abb78a15048ba32ff78200ec5",1;67596209490982,-0;593012316206469,0;326959445911562,-1;79588489854891,0;0725128246606324,0;130096538361723
"ca8c1cc094272e70ff21f563a2af81c3",3;91280685661256,1;61682005887459,0;341336340339054,0;549963772113901,0;58234422208608,0;671389765306852
"643e1fe5e4374e56b15854c0ab8bd517",19;1663995372736,0;112278293158241,0;336331680958357,0;333738161410844,0;738577150333756,0;776779416730329
"e5750ae962ff61732a057356b169fd21",2;00910499245789,0;14503289194109,0;325652910414138,0;445341566915871,0;656072933036459,0;721135408240535
"5cce1abb68c73f8fd159aaf92e2afde9",1;1708600239099,-8;29940667411703,0;20134871004191,-0;0148033474009473,0;988189069034944,NA
"1cc1bac06496093e1f4903bb981b67a4",1;1708600239099,1;76190222296262,0;279821032729715,-0;0148033474009473,0;988189069034944,NA
"31415f8d3595a43846a89317548511ce",1;1708600239099,1;65332782187706,0;282053891450181,-0;0148033474009473,0;988189069034944,NA
"d40cb52e5d7086fee99ae0907fd334f9",349;800196386152,-0;739800410998509,0;329899240741334,-4;60854018486549,4;05506008323074e-06,3;09198331346344e-05
"542b8274cc0abe38ef023b02b57dbf9b",1;95760426502868,0;527324639684875,0;317811903563014,-1;26559656784482,0;205657555499513,0;291746764778379
"5bf5a35fbf5c2c129b31a4aaa02679bd",1;67277254469499,-7;96336842389445,0;263972489047046,2;10811129341751,0;0350213638012989,0;0996405460424369
"fd6ff46f1b85f9ed17f80fe98868119c",1;14279879774324,-3;37181192372733,0;25773974384277,0;126768878135764,0;899123328617572,NA
"4446d2a211e0a41b6b526dd4940fe073",1;72628406923025,0;483641510510136,0;323689501277143,1;4880447141676,0;136739101957255,0;219502242615594
"0c5de29041b1bcfe2010ba9bde32f320",1;1708600239099,4;72404148404515,0;242249130409272,-0;0148033474009473,0;988189069034944,NA
"99d56121b201885e2327e1aaefee27e0",169;423425429322,-1;6649103037905,0;342585043864951,-7;02609209414458,2;12398297831407e-12,4;31876538923861e-11
"939f95ffa67d45b18f810411c9e35571",3;32185522164367,1;40127199948856,0;342459034339625,3;62454869821461,0;000289466475660669,0;00160522318320916
"1b0539acdc7399feee3aaebdd5e61067",1;14291037178013,5;10482302429275,0;239121194872081,-0;170254746928156,0;864809798318006,NA
"e71fb4db708f786a39f0bf2bd9b6e50b",1;25466817237874,-0;134003808527794,0;322510558419864,-0;415014280322464,0;678131449217309,NA
"18922236506583e7320e776be6c2463a",2;34655062919549,4;28059304064481,0;318416511104433,3;00830198430473,0;00262711942857367,0;011446734653071
"62da65200185b257193a5e6d38677242",1;14291037178013,-1;29113956838313,0;291771919689679,0;12671284307143,0;899167680478501,NA
"0df685ffc0887a530be9364c346bad5e",1;14291037178013,-5;59023980640553,0;238299830017254,0;12671284307143,0;899167680478501,NA
"bb33b229f3d1ca9a24f2615fab635d38",1;36645935976931,-0;1754394781872,0;263522102806329,-1;14485510323226,0;252269184746714,NA
"da230b788ed11070ab619cf95eec6577",1;33729829059145,0;262642597193068,0;320340385156022,0;818770366121644,0;412917441238931,NA
"b2b2ae51b868a14c0e2efb9693ed8f75",1;72978954083869,0;678960406487169,0;326881004092661,2;05921666801562,0;0394734871356018,0;0996405460424369
"bd26e97e57ceb47cf6ab7d5b5e947f62",1;3943329022585,0;175588826803515,0;318600430916196,0;550935063853299,0;581678189754843,NA
"76dc3809d214159c017b2f987364f7e0",2;96040962140469,0;16211827776519,0;33170285870516,0;488705480719253,0;625050223037764,0;706075251950067
"92e7c471bf50233a39a459ff5b204b3e",1;6189966430822,-0;567805702382489,0;317191298832359,-1;77100998256969,0;0765590417196244,NA
"2c18fa52b1be278e8fbf731b531e3174",1;14292397442029,-0;801126234148997,0;303570049718482,0;126705982955415,0;899173110295129,NA
"071be45c44bec0f49b498f73b15dd3d2",1;1708600239099,7;46210187551008,0;225449502398278,-0;0148033474009473,0;988189069034944,NA
"4be810915c915c3f6f34bb4fedab9ad0",1200;81423399534,-0;122450277430012,0;334827837382011,4;43929051770989,9;02559157291709e-06,6;11734539942158e-05
"e87dc9cc994d0c5c48a42ee91aae6eae",1;39445724094806,3;7186931073632,0;251037031803817,-0;990799830589477,0;32178333204577,NA
"9c7970c0800382fbe01230164e6149fb",1;1708600239099,-5;42520462641324,0;239695587756584,-0;0148033474009473,0;988189069034944,NA
"c1f96ac17ac6c32cbf88341fce4c8d9d",1;1708600239099,5;42063999279583,0;237177298118669,-0;0148033474009473,0;988189069034944,NA
"a135d244d0364d5d06535e56882a84a5",4;36919731884304,1;03976355085724,0;340880232746354,3;03590190934649,0;00239817369272579,0;0112529688658672
"e36a239a30b387e78c09e274444e016c",1;1708600239099,3;78990703328564,0;250548574915968,-0;0148033474009473,0;988189069034944,NA
"2e3c54c72de596f4c4009971b90895d7",1;1708600239099,3;21474505131388,0;256902676625827,-0;0148033474009473,0;988189069034944,NA
"97e3be015d0ad3c9c56ccbd57f9c0feb",2;41804510192555,-0;0237268854943465,0;322040632804773,-0;0736585529804068,0;941282079086999,0;941282079086999
"1760e66b93ff7aa728b6898fa572bc2d",1;70402332107648,-0;614753768864749,0;327670793517545,-1;85698000760341,0;0633139984901501,0;120692309621849
"89ca3ef7f9011b78e1e0a3895fb3ff7f",1;84157544422445,-7;46672295499156,0;283122594058639,-2;12542666295468,0;0335510274346678,0;0996405460424369
"c0c4bc43d1ba371268726299b45b754a",1;14273523031743,-1;12968015330354,0;295487793766672,0;126800617608629,0;899098206903661,NA
"2ffde79d725e60b058bde836132af683",1;39395988618984,3;52520931334082,0;264363716375346,1;05532826832694,0;29127521685335,NA
"9e58e4736ae679b38ae8de9b3fc3d7ee",1;28107285324116,0;180171501281865,0;32128203381596,0;560516728016042,0;575127032876004,NA
"8512a0ed11476e591ffa9a713b8d9df3",1;66744176279487,4;57197487324389,0;266086368642987,1;92447965354008,0;0542944886707958,0;110904862922677
"983cf9a4e7016105283f24743d919f25",1;28264592729566,-0;174061807841075,0;321913767962647,-0;539770382212223,0;589355394941123,NA
"5e317160f53054af730b0a3123e7e9b6",1;75649716239475,3;48774977807077,0;282824214500795,-1;96872265735487,0;0489849480110772,0;11066969735836
"f159675a1296aa9d383e4ab3f9407619",1;42237830652785,-0;352419080713582,0;321408349160666,-1;09095708456403,0;2752917667437,NA
"af7a6845c73f4a26d0abf34aef9a2a64",1;14291354806346,3;88158297462088,0;24939523794687,-0;170252995840177,0;864811175380708,NA
"325f464ad49685c1e5420d17aa147d15",1;28242035065804,1;56797103563116,0;286427166378247,0;561365866527919,0;57454814814355,NA
"760b5cda1cd383fa43af2dd6f6b06672",1;83782733434433,0;900527615167058,0;304950883945202,-0;101306960666063,0;919306790811962,0;934628570658828
"7d2ea1f51c60d58d0660446d4774a59a",1;1708600239099,4;49524561808748,0;244097818644489,-0;0148033474009473,0;988189069034944,NA
"b663b0cd551ba980221251a789b6e206",1;11484914561347,-3;13312424482041,0;142184685033322,0;272256347889083,0;785424918157882,NA
"d75885b537a312c667e41d5afe3bee27",21;1496808768651,2;53830471186364,0;35142204027452,6;43608240389255,1;2259649346206e-10,1;86959652529641e-09
"faef5307d71a48c6d6d40336c90c8d60",1;14291037178013,-8;61476635920503,0;221329339059857,0;12671284307143,0;899167680478501,NA
"399dce84cd757a93a8527510b06e307a",1;14292397442029,-4;58003853533103,0;245941358322663,0;126705982955415,0;899173110295129,NA
"08d77d3861ee0c24205b9a999144495f",1;50227918764775,0;470840507565638,0;321416510373404,1;45778688135717,0;144899295358558,NA
"c1c7dac2c6665e89f90cda95c53e086e",1;1708600239099,4;58669775582091,0;243346449315767,-0;0148033474009473,0;988189069034944,NA
"18ff3ee57c402652b7156ed14071d0ab",1;14279879774324,-6;02846239818026,0;235394641624359,0;126768878135764,0;899123328617572,NA
"8dcb1c66dadcbfce80141ab20ccf1ea1",1;1708600239099,-6;22148405781356,0;234434163948264,-0;0148033474009473,0;988189069034944,NA
"a294a6334e4208490c478e9073d7270c",1;14279879774324,-1;25755928316116,0;292529193062443,0;126768878135764,0;899123328617572,NA
"22aea799615e8e1467f7b56605053545",1;80997625941145,-0;132380283727115,0;314285946390162,-0;420872974759848,0;673847840487058,0;721135408240535
"96e8d503a1148ba899683ec5ab9b05d9",1;42249879362279,-0;354822210268015,0;319901262816465,-1;10340846407196,0;269849822665204,NA
"371805a0d32985ff210ca9f1a7acad48",1;1708600239099,4;94242601778468,0;240575613450411,-0;0148033474009473,0;988189069034944,NA
"b0155a887805143545218ffe760eda06",1;1708600239099,4;94767287505771,0;240536418853995,-0;0148033474009473,0;988189069034944,NA
"a4bbfb428c8d35739d668a60656037fc",1;44825098187751,0;412225003788558,0;318024174094692,1;29125942170941,0;196613736357093,NA
"ea4f3d7471d698fb962e28a5f213caf2",1;72322529680632,0;676858096568929,0;326753298476609,2;05327249198632,0;0400461571811146,0;0996405460424369
"ee0d28cca895e4a213be07178c2fefba",1;14286442150765,-2;68244317659934,0;266553504024035,0;126735970832979,0;899149374772689,NA
"3d6595ba0dd3b1779363e84e947fc1c4",1;72397571215474,0;694049724344776,0;321708107500287,2;13651253546668,0;0326376603232703,0;0996405460424369
"a158cb84cd379842d99cf6726247efcd",113;421253732027,0;46751992542317,0;337685059424377,1;83487645090672,0;0665239976394542,0;122968601697173
"8e2824f6a1b188b220b9361c612674b6",1;14291037178013,5;17145806840267,0;238642897871539,-0;170254746928156,0;864809798318006,NA
"633743f58b6a9fabc8612a844746d9aa",1;5899874187099,-0;540850871196817,0;316942691354409,-1;68939333693471,0;0911440770440191,NA
"211d2dbbc4c623c2e960bb29d37d40fa",1;1708600239099,-8;1113772738499,0;198162669363057,-0;0148033474009473,0;988189069034944,NA
"8888c9b2d3933081f63651b9bfdbe480",7;48822037239509,4;26450560544054,0;346512799306493,4;94542318907237,7;59786251905673e-07,6;6209944808923e-06
"bdf8ede33b2c7001840621a6f72229dd",4;11354449923726,0;932841967093606,0;327565014731861,2;83228987823634,0;00462159299594583,0;018794478183513
"dfaaa901a526111d492d3d2f61435275",1;33853887898854,-0;249752798383859,0;321214417273144,-0;775186498851619,0;438229464869734,NA
"59788ef0375e4756a83b5a60f29a3303",1;1708600239099,4;7765701944521,0;195102668984748,-0;0148033474009473,0;988189069034944,NA
"319412737efae4ec36f93f4db011de0e",1;69901290878247,-0;353730726674594,0;316375058535432,-1;11348279982083,0;265501131449804,0;368081114055411
"223bd77c5c34f4e9e40c3dfd53dffafc",1;70222506628288,-0;628352613286768,0;323126024875668,-1;92249600971626,0;054543375207874,0;110904862922677
"cca78c21045111a15b3ccadddf52b971",1;47746643327265,0;446038998453613,0;318121886715093,1;3958956695603,0;162745914898357,NA
"e74ee435c566d594cc9526383adf5792",1;47796782419281,-1;34878272290088,0;270780848486952,-1;26083522867195,0;207368218431263,NA
"1c9a25f511df933eb3476dbbbb46a199",1;22698247624323,-0;0925055425769877,0;323265219620574,-0;285965254823302,0;774904733398196,NA
"3afe92f292286577802cddba507f140e",1;14286739045072,3;45881719163624,0;253831299980793,-0;170278406175207,0;864791192630235,NA
"db7d937668dd436e5a4c657b8cd5329f",1;47852110398442,0;446606089929593,0;317965988815432,1;39837070521274,0;162001775486641,NA
"273881ea7601aa7c034c59b7f40b5736",1;31048071844534,-0;151091701346219,0;271743874238085,-0;918854289249694,0;358171791797066,NA
"4a1a4c83702a6c44562e2daa13bf3514",1;14286739045072,-3;02829441316509,0;145043351906209,0;126734478640662,0;899150555846615,NA
"f7b11f46a4c69e77e82476e16e9df760",145;371785893292,-0;919222421629702,0;344532824086356,-8;31894966803404,8;87462234839248e-17,5;41351963251941e-15
"b84ffd3d3404ece823346fd8ed2df099",2;82118990350308,1;98385323668333,0;338916935822469,2;05591062115285,0;0397911321643687,0;0996405460424369
"596153e78a4c251da43033285b61a7b3",26;9370210501982,2;38142386588231,0;350183569441676,6;18299702013886,6;28959021103502e-10,7;67330005746272e-09
"9e6878f45a5eb2ea642bc92e840afdf7",1;14286739045072,4;02329677179277,0;248027509901673,-0;170278406175207,0;864791192630235,NA
"54936af7fc659bb8a76615f1ae6f6993",1;56279845754139,-0;496919241785669,0;324084432302416,-1;52097921601678,0;128265053089002,NA
"6915ce702b5bac12f5018e69a2bca72e",1;2552344046873,-0;134102642981066,0;322514748208773,-0;415319599033108,0;677907955560117,NA
"481b5086d4014f57b2ff1517825ee7d1",1;64595011329937,1;44582673043529,0;310096740335637,1;86131904845417,0;0626991347447238,0;120692309621849
"ee297847e00487e7f148dc495efc4ebe",1;14291037178013,3;57779180167557,0;252524748878696,-0;170254746928156,0;864809798318006,NA
"e3eb7f52eef0ad7aec4db88af12eb3cd",2;19960867677621,-2;16424994294979,0;264709991940868,2;79136780968125,0;00524857917729374,0;0200102081134324
"1eff341aa2b49ec383d0a118f73f9cb6",1;3664123703372,-0;285394966805654,0;32111778956169,-0;885478267574921,0;375898735764557,NA
"17211eba768f47a1041935f3ee102e20",2;67384336491404,0;443312614062826,0;316440839607939,1;39824190105927,0;162040438037362,0;253447864622541
"d61038bd0af574cc1fb1f9ecef204bbf",1;28264592729566,-0;174061807841075,0;321913767962647,-0;539770382212223,0;589355394941123,NA
"a4e3412f19bae543184b7ee353711e30",3;74323604585159,2;18740582805618,0;342899911974334,1;26606488807631,0;205489852047314,0;291746764778379
"3e0f023636975b57382d70fe0a52bf1e",1;1708600239099,4;38694609377866,0;245010281836685,-0;0148033474009473,0;988189069034944,NA
"450fb80a8aa341cdf33eee2dac5fe23b",1;25369534280767,-0;133831547395061,0;322503375753255,-0;414481999708113,0;678521146971192,NA
"3123b5aa3c0f158260f64b2832af8167",1;45039027071474,-0;145122104391922,0;318519147316509,-0;455116615507588,0;649025345022031,NA
"7f6f04cff14b6c730f64324e546e2d6b",1;25483792428744,0;136792977076557,0;322031688184141,0;42472573325664,0;671036622387045,NA
"579e5bbf5706c28209744c33484c4b8c",1;1708600239099,1;07225417780147,0;295428484416768,-0;0148033474009473,0;988189069034944,NA
"7ff01134216b54c40a3d44f59c565338",1;1708600239099,-0;774501121019695,0;304372697723873,-0;0148033474009473,0;988189069034944,NA
"86a9b8a55479938e1b6b804cd653155b",1;41936598060321,0;373565177971799,0;32023364869745,1;16294726157385,0;244850900458651,NA
"45c35d69f417bd7d4cbe61dd5a0f083e",1;1708600239099,-0;304222922480352,0;161184145673582,-0;0148033474009473,0;988189069034944,NA
"41155fc81ea0571a02817ce0e39861e2",1;1708600239099,-0;873044202402168,0;301870854892787,-0;0148033474009473,0;988189069034944,NA
"9bfd7d6705ff77f170d74bd7d21e15c7",2;31631568100263,-0;177097021635595,0;322683632558704,-0;548514539610924,0;583338648545298,0;671389765306852
"4673065a2d04c05374a89d2cfdcf68c2",8;26711941847798,0;402074677605011,0;312214301570221,1;28701052230121,0;198090620624311,0;291746764778379
"a7f842cf2e6b177dd52becebda1de83a",5;62230183296827,0;632916445054013,0;350010184798184,-4;34621659326113,1;38505806595101e-05,8;44885420230115e-05
"6a7a5b8592e878c6065ab49055907e1a",1;3382820540291,-1;27528881483309,0;296025890045604,-0;777198823099693,0;437041476473809,NA
"99bf847cdf4b42889ec796b79dff8c25",1;45012392597431,-6;60139897772313,0;241988355451264,-0;456853704899562,0;647776201337768,NA
"5efce6b21a9c05541f7e777341156e96",1;61851713699434,6;65437183958331,0;257082810986254,-0;369198611419511,0;711979690807298,NA
"a992aa1cc0c433a9e86e33cbc0489c4b",1;1708600239099,-1;66495299841378,0;283986337070125,-0;0148033474009473,0;988189069034944,NA
"409649957a882957ee87339338a7c07f",1;14286442150765,-6;5585948137376,0;232132090496816,0;126735970832979,0;89914937477269,NA
"fe1557e7eea603d3e9a1356de4c894f1",1;31116615474321,-0;212747831225568,0;321485424311187,-0;660214239718461,0;509116355521261,NA
"872b2757f7ef15b1ef26b3f9936bcf31",15;9057666712349,0;138082767889466,0;321558298694814,0;429323843730789,0;667687567125192,0;721135408240535
"7815ca3b2d75f9ff6a3589a9dea5b8c6",1;1708600239099,5;80710475010648,0;234656231801687,-0;0148033474009473,0;988189069034944,NA
"4f59249301b989a2e45240235f71f3d2",1;1708600239099,0;719027868306055,0;149928861622995,-0;0148033474009473,0;988189069034944,NA
"511bd796069111a3a3e99c2d13907211",1;91916085877824,-0;291148307475263,0;324920730390228,-0;894006735665359,0;371318287302215,0;468642746666736
"3a12705bdb700b87026ea27254e8fa89",2;45762607674135,-0;439697739467072,0;335237870109372,-1;30892651936828,0;190559242526562,0;290602844853007
"369977194325fa77afd733d37c92c63d",1;67326989945321,0;647170709801686,0;320738108121873,2;00049462060526,0;0454468802184851,0;106625372820292
"78e3be9fa222d3a314799a1a883f6b66",56;987370850093,2;13737165641331,0;347303047859468,7;51548519821679,5;67002517303875e-14,1;72935767777682e-12
"79211df1215da97e2f8277d6b2222fe2",1;5899349085305,-5;98587376896526,0;25907099655223,-1;64341701195365,0;100296682709297,NA
"3595b98686ee678c017f6a39f2ba8e7e",1;22675932816944,-0;0924676828699822,0;323263760272121,-0;285848241018437,0;774994357943959,NA
"8886b2b13e2ddffa6f24c3ba02bde095",1;89146903820476,0;447077948541278,0;297872921574491,2;48233471469792,0;0130524605708803,0;0442333386013166
"79a7291065adc3f595551e420369acde",1;1708600239099,6;37945111065869,0;231218057681961,-0;0148033474009473,0;988189069034944,NA
"b7b6c3fd8f90372ec9ab4e7bd7df8507",1;1708600239099,3;89953886089908,0;249460212335253,-0;0148033474009473,0;988189069034944,NA
"8d3e983e728259a88863f948e5dbe94b",15;3936405538805,-0;26159743399895,0;329333959093471,-0;794818698510669,0;42671897246698,0;520597146409716
"b53ede99325c8616840fa8e938464d7e",7;08247975433769,0;537523882858742,0;3439936527383,1;56097063726977,0;118530679049091,0;20084365061096
"116156fee4dfb6a544121c9b98a23c74",2209;7996287258,1;37957656523301,0;334002322740437,5;49822882989726,3;83624905057283e-08,3;90018653474904e-07
"abb48f98cc76cbfd884b85cb99cf2af1",4;44574921219261,0;575442111303534,0;332491775956719,1;72744527937519,0;0840877246639123,0;146552891557104
"66784a97073d9affb5b9dd057c7d5195",1;22600016528686,8;08912516994497,0;224044098907273,0;282398319423911,0;777638103484062,NA
"d8fc54bcadbf7fcc5cd3d7c2bf678f8f",1;1708600239099,-4;33121622839135,0;2483157239895,-0;0148033474009473,0;988189069034944,NA
"04fee52d3a95545eea1c45e2e63ce362",2;14830357599045,-0;904517764493476,0;332486049820153,-2;6788424702024,0;00738771410570009,0;0265088564969239
"7c4c61a0c83567367786e514df40a21b",1;64603779292228,-0;296938216815611,0;316646558931846,-0;934867567467583,0;349856553108607,0;463940211730979
"fe69850846e2271a5906e8d2d8c09040",2;28369232674028,-0;295195899932021,0;331646798601906,-0;888804302768409,0;37410826303216,0;468642746666736
"71d1bd285cdf78ebfd3ef9d9c9a40241",1;1708600239099,-6;15263541183709,0;234861827939167,-0;0148033474009473,0;988189069034944,NA
"d9b3a569d44a34c6a764a5a298219d08",1;17082021886382,-3;15965984942844,0;198168296625629,0;277234915607391,0;781599731160149,NA
"ba01d82683535dedddbe18c540d309be",1;14291037178013,-0;942329575941672,0;300017031916132,0;12671284307143,0;899167680478501,NA
"890b0fb43b36350b30ca02829f3e91ad",1;36648535483498,0;301655443380916,0;320156247600222,0;940463224628002,0;346980004769213,NA
"543d211dd0ff4f6d0066ec3850ed5082",1;1708600239099,6;27970349032081,0;231795372566548,-0;0148033474009473,0;988189069034944,NA
"a767696bf9e2e1a5f9e63fd6d39e88f3",1;1708600239099,-2;84978436771863,0;264434777592796,-0;0148033474009473,0;988189069034944,NA
"461c2b20bd5c233dcac34fc89ce1a66f",1;1708600239099,5;41390118107417,0;237223232227822,-0;0148033474009473,0;988189069034944,NA
"b88919456fa9bc9afe13c91708403a1b",1;1708600239099,7;30246877378155,0;226250263917784,-0;0148033474009473,0;988189069034944,NA
"5ae1f1acc18efc7823c3415d779b0385",1;25357023597534,0;136545977498459,0;322022915671004,0;423956810531288,0;671597311365909,NA
"f8549988d995f078ce28eccc60deff7b",1;1708600239099,-4;93149789088292,0;243346546750016,-0;0148033474009473,0;988189069034944,NA
"d0663dc6e98d4272e5c13d317fed72cc",1;14291037178013,4;99270317705822,0;239941561795608,-0;170254746928156,0;864809798318006,NA
